Seed, N, MU, RHO, S, Num_neutral, Num_sel, pi_neutral, pi_sel
5722330173787116908, 5000, 1.0e-09, 1.0e-08, -0.0001, 2, 6, 2.07434e-06, 5.07228e-06
5183382740498132218, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 34, 5.42284e-06, 1.13591e-05
104339814265054022, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 24, 3.33433e-06, 4.33385e-06
5395697350591308208, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 27, 1.43712e-06, 1.00186e-05
1406980936155285090, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 32, 1.03999e-06, 9.64702e-06
5098792863491460832, 5000, 3.0e-09, 1.0e-11, -0.0001, 19, 31, 6.80446e-06, 6.29162e-06
5592551913962177416, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 36, 4.0934e-06, 1.24331e-05
7633692627446759821, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 35, 2.68019e-06, 1.28346e-05
2062895993516827377, 5000, 3.0e-09, 1.0e-11, -0.0001, 22, 32, 1.67365e-05, 9.30072e-06
7242025886123555421, 5000, 3.0e-09, 1.0e-11, -0.0001, 8, 24, 4.76684e-06, 7.54855e-06
4761181992937178636, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 31, 2.74019e-06, 6.10813e-06
8410857574802817097, 5000, 1.0e-09, 1.0e-09, -0.0001, 4, 10, 3.53294e-06, 2.91822e-06
650831856964676966, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 19, 9.75918e-07, 4.34881e-06
1255137341094790873, 5000, 3.0e-09, 1.0e-11, -0.0001, 10, 31, 9.03533e-07, 8.71288e-06
8712069122088482611, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 24, 2.08167e-06, 3.69466e-06
842301709423180412, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 26, 6.01178e-06, 4.23162e-06
7424063138407218555, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 33, 6.58994e-06, 1.11828e-05
7609225412405340133, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 27, 7.83683e-06, 7.84299e-06
5496448547924615234, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 28, 4.04227e-06, 4.23177e-06
1871492746348065378, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 46, 5.34931e-06, 1.33528e-05
8266104014106277244, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 30, 8.05765e-06, 1.40531e-05
4433485522704778090, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 29, 9.03757e-06, 8.85215e-06
7143051204128448634, 5000, 1.0e-09, 1.0e-09, -0.0001, 5, 9, 2.05101e-06, 1.37077e-06
870450611780986896, 5000, 3.0e-09, 1.0e-11, -0.0001, 21, 18, 6.02881e-06, 6.77253e-06
6583292876858749057, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 25, 4.6125e-06, 9.94359e-06
892369438866605669, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 21, 2.80272e-06, 3.83933e-06
9175370084328606788, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 24, 3.57298e-06, 5.10642e-06
4328013428474129484, 5000, 3.0e-09, 1.0e-11, -0.0001, 8, 31, 3.31785e-06, 8.48972e-06
6866974293449872561, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 24, 5.14208e-06, 5.27897e-06
